,min_temp,min_temp,min_temp,min_temp
,min,max,mean,std
state,,,,
AK,-59.1,53.6,-28.521727019498606,26.105537337711265
AL,-57.1,46.9,-11.885714285714286,34.861816307584085
AR,-57.1,19.0,-7.36231884057971,22.61001926170106
AZ,-57.1,37.0,-7.793478260869566,38.674726404902046
CA,-57.1,45.5,3.082334384858044,39.80784387245694
CO,-57.1,14.9,-25.450757575757574,20.284990488446248
CT,-57.1,9.7,-12.361538461538462,25.30062571436646
DC,-57.1,9.3,-23.9,46.95189027078676
DE,-57.1,12.4,1.8099999999999994,20.757887389830614
FL,-57.1,51.8,7.7320197044334975,38.747548109712206
GA,-57.1,26.6,-0.42824427480916066,28.447631440702132
HI,-57.1,66.9,11.544736842105262,56.67159399686136
IA,-57.1,-7.6,-18.962711864406778,13.388002005943235
ID,-57.1,3.0,-23.047916666666666,23.09808861562003
IL,-57.1,4.3,-15.736220472440944,17.55903723945032
IN,-57.1,-2.4,-15.828333333333335,17.581906065724365
KS,-57.1,-2.9,-20.032941176470587,22.19006850048062
KY,-57.1,10.9,-14.343396226415095,22.543176602261592
LA,-57.1,55.4,1.7901960784313722,36.968561730162236
MA,-57.1,13.6,-12.530357142857143,23.330790577283036
MD,-57.1,15.3,-4.942105263157895,26.008988469431248
ME,-57.1,28.4,-27.36603773584906,21.87977590410682
MI,-57.1,20.8,-16.75026178010471,19.445599892887532
MN,-57.1,-14.8,-28.188888888888886,10.261336923666091
MO,-57.1,23.0,-20.463529411764707,24.24477286353663
MS,-57.1,34.2,-2.63448275862069,27.93627806605432
MT,-57.1,5.0,-38.81142857142857,15.945964396620932
NC,-57.1,25.0,-0.9605263157894739,26.708450823971837
ND,-57.1,-17.3,-34.83731343283582,12.075254383679642
NE,-57.1,28.0,-22.97216494845361,16.715298271518886
NH,-57.1,3.7,-24.25588235294118,20.62151261501431
NJ,-57.1,9.9,-12.391489361702128,28.12009052638062
NM,-57.1,15.8,-24.521505376344088,29.32049605674429
NV,-57.1,28.0,-20.582978723404256,34.740768677817485
NY,-57.1,59.2,-21.40097087378641,26.004605531560838
OH,-57.1,8.2,-18.127368421052633,21.089174605809283
OK,-57.1,17.6,-4.921359223300971,20.251359917955053
OR,-57.1,28.9,-16.16144578313253,34.576087293364566
PA,-57.1,7.7,-15.70568181818182,24.560965001982957
PR,64.4,69.8,66.5,2.450850192620237
RI,-57.1,8.6,-12.23157894736842,27.843911216150392
SC,-57.1,19.8,-1.246511627906977,29.120058571670327
SD,-57.1,41.0,-27.695833333333336,18.22118194934691
TN,-57.1,14.0,-19.052380952380954,27.423874573659777
TX,-57.1,44.6,2.027882037533512,27.39526340558375
UT,-57.1,19.9,-26.606060606060606,29.715755358902058
VA,-57.1,15.8,-6.526562500000001,26.20932539568408
VI,66.0,70.0,68.0,2.8284271247461903
VT,-57.1,-11.9,-28.438888888888886,16.38687203719486
WA,-57.1,29.7,-16.144444444444446,31.448621006967468
WI,-57.1,0.7,-23.096153846153847,12.521444574797023
WV,-57.1,1.0,-21.08,26.02225042615222
WY,-57.1,-6.0,-33.48095238095238,15.605632328382717
